Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Class_encoded,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Satisfaction_binary
29.0,529.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,1
22.0,349.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0
13.0,1522.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0
54.0,612.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,8.0,0.0,2.0,1.0,0.0,0.0,1
21.0,1454.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0
28.0,731.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,14.0,8.0,0.0,1.0,0.0,0.0,0
27.0,2076.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1
69.0,309.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35.0,775.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0
60.0,861.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,10.0,10.0,0.0,0.0,0.0,1.0,0
45.0,3334.0,2.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,51.0,48.0,2.0,0.0,0.0,0.0,1
57.0,2496.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,1
40.0,602.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1
38.0,308.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,4.0,39.0,26.0,2.0,0.0,1.0,0.0,0
23.0,446.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0
39.0,216.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0
52.0,3475.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1
25.0,646.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,13.0,1.0,0.0,1.0,1.0,0.0,0
48.0,2501.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1
59.0,2227.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,30.0,15.0,2.0,0.0,0.0,0.0,1
25.0,1426.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1
38.0,190.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0
46.0,1532.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1
50.0,308.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,18.0,12.0,0.0,1.0,0.0,0.0,0
38.0,157.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1
53.0,1506.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1
30.0,205.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,1.0,1.0,2.0,3.0,64.0,49.0,1.0,1.0,0.0,0.0,0
39.0,895.0,2.0,2.0,2.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,2.0,2.0,1.0,1.0,0.0,0
66.0,516.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,2.0,0.0,37.0,1.0,1.0,0.0,1.0,0
45.0,909.0,3.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
25.0,1435.0,5.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1
52.0,1190.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,0.0,6.0,2.0,1.0,0.0,0.0,0
64.0,1259.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,20.0,5.0,0.0,1.0,0.0,1.0,1
50.0,216.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0
41.0,1670.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0
26.0,3960.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,45.0,48.0,2.0,1.0,0.0,0.0,1
25.0,817.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0
44.0,1670.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,5.0,0.0,8.0,2.0,0.0,1.0,0.0,0
21.0,861.0,4.0,0.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1
47.0,406.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,44.0,50.0,2.0,1.0,0.0,0.0,1
31.0,404.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,17.0,3.0,1.0,1.0,0.0,0.0,1
57.0,500.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0
44.0,689.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0
45.0,3100.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1
13.0,525.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0
60.0,931.0,0.0,5.0,0.0,3.0,4.0,0.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1
41.0,304.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,31.0,19.0,2.0,0.0,1.0,0.0,1
30.0,1896.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,81.0,72.0,2.0,1.0,0.0,0.0,0
51.0,261.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
61.0,347.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,1
32.0,1042.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,2.0,4.0,35.0,34.0,0.0,0.0,0.0,0.0,1
39.0,1773.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,1.0,5.0,14.0,18.0,0.0,0.0,0.0,1.0,0
19.0,342.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0
15.0,297.0,1.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,4.0,5.0,67.0,62.0,1.0,0.0,0.0,1.0,0
42.0,883.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,22.0,27.0,2.0,0.0,1.0,0.0,1
16.0,332.0,2.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,40.0,52.0,0.0,0.0,0.0,1.0,0
19.0,2388.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1
29.0,748.0,2.0,5.0,2.0,2.0,5.0,2.0,1.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27.0,1080.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0
22.0,231.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,1
15.0,551.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0
11.0,972.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
34.0,265.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,1.0,4.0,5.0,0.0,23.0,0.0,0.0,0.0,1.0,0
26.0,488.0,2.0,0.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
26.0,1144.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0
53.0,2332.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,1
36.0,3024.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,30.0,13.0,2.0,1.0,0.0,0.0,0
32.0,1750.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0
20.0,483.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,4.0,5.0,91.0,82.0,0.0,1.0,0.0,1.0,0
35.0,2128.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1
15.0,235.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,10.0,0.0,1.0,0.0,1.0,0
52.0,689.0,2.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0
45.0,1852.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1
24.0,372.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,21.0,23.0,0.0,0.0,1.0,0.0,0
46.0,3705.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0
26.0,416.0,3.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,0
28.0,337.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0
11.0,335.0,1.0,5.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0
45.0,1400.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,9.0,2.0,1.0,0.0,0.0,1
62.0,2521.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,5.0,3.0,5.0,4.0,1.0,4.0,1.0,7.0,30.0,0.0,1.0,0.0,1.0,0
34.0,374.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1
51.0,308.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,17.0,8.0,2.0,1.0,0.0,0.0,1
58.0,575.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,14.0,16.0,1.0,0.0,0.0,0.0,0
22.0,618.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0
8.0,1304.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1
26.0,351.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,11.0,2.0,1.0,1.0,0.0,1
22.0,549.0,4.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,15.0,3.0,0.0,0.0,0.0,1.0,0
21.0,3510.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0
31.0,1620.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0
44.0,326.0,2.0,0.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27.0,588.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1
47.0,1020.0,3.0,1.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1
24.0,2903.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0
67.0,2659.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0
32.0,3037.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1
58.0,2475.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,29.0,10.0,0.0,0.0,0.0,1.0,1
12.0,978.0,4.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
56.0,2568.0,3.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0
58.0,371.0,3.0,5.0,5.0,1.0,2.0,3.0,5.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0
24.0,791.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,1.0,3.0,1.0,3.0,5.0,39.0,6.0,0.0,1.0,1.0,0.0,0
68.0,480.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,7.0,6.0,0.0,1.0,0.0,1.0,0
46.0,1786.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,7.0,2.0,1.0,0.0,0.0,1
43.0,1849.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,0.0,7.0,2.0,1.0,0.0,0.0,1
55.0,3634.0,0.0,4.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1
54.0,844.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0
